titleM,title,classification,release,runtime,tagline,overview,crew,cast,tags,Status,Original Language,Budget,Revenue,
"Sticky Fingers of Time, The (1997)",-,-,09/09/1998 (US),1h 21m,-,"A sci-fi novelist in 1950s Brooklyn suddenly finds herself transported 40 years into the future. She quickly learns that she isn’t the only “timefreak,” and that her time may already be up.","{'Director, Writer': 'Hilary Brougher'}","{'Terumi Matthews': 'Tucker', 'Nicole Zaray': 'Drew', 'Belinda Becker': 'Ofelia', 'James Urbaniak': 'Isaac', 'Thomas Pasley': 'J.L.', 'Samantha Buck': 'Gorge', 'Julie Anderson': 'Dental Assistant of Death', 'Amanda Vogel': 'Girl in Window', 'Leo Marks': 'Dex'}","['future', 'bisexuality', 'time travel', 'woman director']",Released,English,"$250,000.00 ",-,
Rosie (1998),-,AL,02/17/2000 (NL),1h 37m,-,"In a juvenile lockup, a new ward answers questions: she's Rosie, 13, no parents, a sister Irene, a brother Michel. In flashbacks we find out what happened. She lives with Irene, who's 27, whom Rosie knows is in fact her mother, but that's their secret. Irene's brother Michel, unemployed, a compulsive gambler, comes to stay with them. Around then, Irene meets Bernard; they come to care for each other. This leaves Rosie without attention, so she puts all her adolescent hopes and romantic fantasies into a relationship with Jimi, a good looking kid she sees on a bus. Is it adventures with Jimi that land her in juvie? Once she's there, why doesn't he answer her letters?","{'Director, Writer': 'Patrice Toye'}","{'Aranka Coppens': 'Rosie', 'Dirk Roofthooft': 'Bernard Vermarcke', 'Sara De Roo': 'Irene', 'Joost Wynant': 'Jimi', 'Frank Vercruyssen': 'Michel'}",['woman director'],Released,Dutch; Flemish,-,-,
Wedding Bell Blues (1996),-,-,10/18/1996 (US),1h 42m,-,"Micki, Tanya and Jasmine have 24 hours to get divorced. There's just one problem...They're still single.  When Jasmine, Tanya and Micki decide they'd rather be divorced than unmarried, they take off to Las Vegas in search of the perfect ex. In the tangled web that follows, Micki lassos a cowboy, Tanya acquires a rich businessman, and Jasmine finds true love in the arms of a regular guy. The result is an outrageous comedy of love, marriage and misadventure.  As intelligent as it is absurd, Wedding Bell Blues pokes great fun at the twists and turns of modern love, with outstanding performances from a talented young cast, including Illeana Douglas, Paulina Porizkova and Julie Warner, it is without a doubt one of the year's most hilarious movies.","{'Director, Story': 'Dana Lustig', 'Screenplay, Story': 'Annette Goliti Gutierrez'}","{'Illeana Douglas': 'Jasmine', 'Paulina Porizkova': 'Tanya', 'Julie Warner': 'Micki', 'John Corbett': 'Cary', 'Richard Edson': 'Tom', 'Jonathan Penner': 'Matt', 'Charles Martin Smith': 'Oliver', 'Joe Urla': 'Jeff', 'Stephanie Beacham': ""Tanya's Mother""}","['friends', 'break-up', 'woman director']",Released,English,-,"$44,000.00 ",
Penitentiary II (1982),-,R,04/02/1982 (US),1h 48m,"He's Too Fast, Two Fisted ...","An ex-con, on parole and trying to straighten his life out, decides to resume his boxing career when one of his prison enemies escapes and kills his girlfriend.","{'Director, Writer': 'Jamaa Fanaka'}","{'Leon Isaac Kennedy': 'Too Sweet', 'Glynn Turman': 'Charles Johnson', 'Ernie Hudson': 'Half Dead', 'Mr. T': 'Himself', 'Peggy Blow ': 'Ellen', 'Sephton Moody': 'Charles Jr.', 'Donovan Womack ': ""Jesse 'The Bull' Amos"", 'Malik Carter ': 'Seldom Seen', 'Stan Kamber': 'Sam'}",[],Released,English,-,-,
Cotton Mary (1999),-,-,12/17/1999 (GB),2h 4m,-,"A British family is trapped between culture, tradition, and the colonial sins of the past.","{'Director': 'Ismail Merchant', 'Writer': 'Alexandra Viets'}","{'Greta Scacchi': 'Lily MacIntosh', 'Madhur Jaffrey': 'Cotton Mary', 'James Wilby': 'John MacIntosh', 'Sarah Badel': 'Mrs Evans', 'Riju Bajaj': 'Mugs', 'Gerson Da Cunha': 'Doctor Correa', 'Joanna David': 'Mrs Smythe', 'Neena Gupta': 'Blossom', 'Sakina Jaffrey': 'Rosie'}",[],Released,English,-,-,
"Ogre, The (Der Unhold) (1996)",-,U,05/08/1998 (PT),1h 53m,-,"Frenchman Abel Tiffauges is a naive man who lives a simple life working as a mechanic. Falsely accused of being a child abuser, he is recruited as a soldier when World War II begins, but is captured soon and taken to the heart of Nazi Germany.","{'Director, Screenplay': 'Volker Schlöndorff', 'Novel': 'Michel Tournier', 'Screenplay': 'Jean-Claude Carrière'}","{'John Malkovich': 'Abel', 'Armin Mueller-Stahl': 'Count von Kaltenborn', 'Gottfried John': 'Chief Forester', 'Marianne Sägebrecht': 'Frau Netta', 'Volker Spengler': 'Fieldmarshall Hermann Göring', 'Heino Ferch': 'SS Officer Raufeisen', 'Dieter Laser': 'Professor Blättchen', 'Agnès Soral': 'Rachel', 'Sasha Hanau': 'Martine'}","['based on novel or book', 'world war ii', 'hitler youth', 'military school', 'nazi collaborationism', 'nazism', 'nazi germany']",Released,German,-,-,
Savior (1998),-,R,11/20/1998 (US),1h 43m,"He's fighting a war he doesn't believe in, hoping to find something he does.",A hardened mercenary in the Foreign Legion begins to find his own humanity when confronted with atrocities during the fighting in Bosnia.,"{'Director': 'Predrag Antonijević', 'Writer': 'Robert Orr'}","{'Dennis Quaid': 'Joshua Rose', 'Pascal Rollin': 'Paris Priest', 'Catlin Foster': 'Christian', 'Stellan Skarsgård': 'Peter', 'John Maclaren': 'Colonel', 'Nataša Ninković': 'Vera', 'Nastassja Kinski': 'Maria Rose', 'Sergej Trifunović': 'Goran', 'Nebojša Glogovac': ""Vera's Brother""}","['civil war', 'rape', 'mercenary', 'serbian', 'atrocity']",Released,Hungarian,"$10,000,000.00 ",-,
Phat Beach (1996),-,R,08/02/1996 (US),1h 29m,Ain't nothin' but a g-string.,A hefty homeboy borrows his dad's Mercedes and goes to the beach with his friends for wild sun & fun.,"{'Director, Screenplay': 'Doug Ellin', 'Screenplay': ""Brian E. O'Neal""}","{'Jermaine Hopkins': 'Benny King', 'Claudia Kaleem': 'Candace Williams', 'Candice Merideth': 'Tasha King', 'Alma Collins': 'Janet', 'Coolio': 'Himself', 'Brian Hooks': 'Durrel Jackson', 'Tanya Reid': 'Ulga', 'Nicole Amaral': 'Inga', ""Tom 'Tiny' Lister Jr."": 'Tiny'}","['beach', 'volleyball', 'obesity', 'summer']",Released,English,-,-,
Beefcake (1999),-,-,01/27/1999 (US),1h 31m,-,"A look at the 1950s muscle men's magazines and the representative industry which were popular supposedly as health and fitness magazines, but were in reality primarily being purchased by the still-underground homosexual community. Chief among the purveyors of this literature was Bob Mizer, who maintained a magazine and developed sexually inexplicit men's films for over 40 years. Aided by his mother, the two maintained a stable of not so innocent studs.","{'Director, Writer': 'Thom Fitzgerald'}","{'Daniel MacIvor': 'Bob Mizer', 'Joshua Peace': ""Neil E. O'Hara (as Josh Peace)"", 'Jack Griffin Mazeika': 'Red (as J. Griffin Mazeika)', 'Carroll Godsman': 'Delia Mizer', 'Jonathan Torrens': 'David', 'Thomas Wayne Harris': ""Mizer's Attorney (as Thomas Cawood)"", 'Jaime Robertson': 'Prosecuting Attorney', 'Dick Sircom': 'Judge', 'Thom Fitzgerald': ""LaFleur's Attorney""}","['interview', 'beefcake', 'homoeroticism', 'lgbt', 'musclemen', '1950s', 'gay magazine']",Released,English,-,-,
JLG/JLG - autoportrait de décembre (1994),-,-,-,-,-,-,{},{},{},,,,,
"Spiders, The (Die Spinnen, 1. Teil: Der Goldene See) (1919)",-,-,10/03/1919 (DE),1h 9m,-,"In San Francisco, well-known sportsman Kay Hoog announces to a club that he has found a message in a bottle with a map drawn by a Harvard professor who has gone missing. The map tells of a lost Incan civilization that possesses an immense treasure. Hoog immediately plans an expedition to find it. But Lio Sha, the head of a criminal organization known as the Spiders, is determined to get the treasure for herself and plans a rival expedition.","{'Director, Writer': 'Fritz Lang'}","{'Carl de Vogt': 'Kay Hoog', 'Ressel Orla': 'Lio Sha', 'Georg John': 'Dr. Telphas', 'Lil Dagover': 'Sun Priestess Naela', 'Rudolf Lettinger': 'Diamond King John Terry', 'Edgar Pauly': 'Vierfinger-John', 'Paul Morgan': '', 'Meinhart Maur': '', 'Friedrich Kühne': ''}","['spy', 'san francisco, california', 'secret society', 'lost civilisation', 'incan empire', 'human sacrifice', 'treasure map', 'hidden treasure', 'message in a bottle']",Released,German,-,-,
Year of the Horse (1997),-,R,10/08/1997 (US),1h 46m,-,"Indie director Jim Jarmusch lenses a low-tech tribute to protean rocker Neil Young and his long-standing band, Crazy Horse. Stitched together from archival material shot in 1976 and 1986 along with candid scenes of Young and the band kicking back between shows, this rockumentary is as ragged as it is direct.",{'Director': 'Jim Jarmusch'},"{'Neil Young': 'Himself', 'Frank Sampedro': 'Himself', 'Billy Talbot': 'Himself', 'Ralph Molina': 'Himself'}","['interview', 'tribute', 'rock music', 'rock band', 'concert film']",Released,English,-,-,
Ashes of Time (1994),Ashes of Time (1994),II,09/17/1994 (HK),1h 40m,-,"Ouyang Feng is a heartbroken and cynical man who spends his days in the desert, connecting expert swordsmen with those seeking revenge and willing to pay for it. Throughout five seasons in exile, Ouyang spins tales of his clients' unrequited loves and unusual acts of bravery.","{'Director, Screenplay': 'Wong Kar-wai', 'Novel': 'Louis Cha'}","{'Leslie Cheung': 'Ouyang Feng / Malicious West', 'Tony Leung Ka-fai': 'Huang Yaoshi / Evil East', 'Brigitte Lin': 'Murong Yang / Murong Yin', 'Jacky Cheung': 'Hong Qi', 'Tony Leung Chiu-wai': 'Blind Swordsman', 'Carina Lau': 'Peach Blossom', 'Charlie Yeung': 'Girl with Mule', 'Maggie Cheung': ""Feng's Sister-in-Law"", 'Li Bai': ""Hong Qi's Wife""}",[],Released,Cantonese,-,-,
Tigrero: A Film That Was Never Made (1994),-,G,01/01/1994 (US),1h 15m,-,"In 1993, Sam Fuller takes Jim Jarmusch on a trip into Brazil's Mato Grosso, up the River Araguaia to the village of Santa Isabel Do Morro, where 40 years before, Zanuck had sent Fuller to scout a location and write a script for a movie based on a tigrero, a jaguar hunter. Sam hopes to find people who remember him, and he takes film he shot in 1954. He's Rip Van Winkle, and, indeed, a great deal changed in the village. There are televisions, watches, and brick houses. But, the same Karajá culture awaits as well. He gathers the villagers to show his old film footage, and people recognize friends and relatives, thanking Fuller for momentarily bringing them back to life.","{'Director, Writer': 'Mika Kaurismäki'}","{'Jim Jarmusch': 'Self', 'Samuel Fuller': 'Self'}",[],Released,English,-,-,
