titleM,title,classification,release,runtime,tagline,overview,crew,cast,tags,Status,Original Language,Budget,Revenue,
American Beauty (1999),American Beauty (1999),M/16,01/28/2000 (PT),2h 2m,Look closer.,"Lester Burnham, a depressed suburban father in a mid-life crisis, decides to turn his hectic life around after developing an infatuation with his daughter's attractive friend.","{'Author, Screenplay': 'Alan Ball', 'Director': 'Sam Mendes'}","{'Kevin Spacey': 'Lester Burnham', 'Annette Bening': 'Carolyn Burnham', 'Thora Birch': 'Jane Burnham', 'Wes Bentley': 'Ricky Fitts', 'Mena Suvari': 'Angela Hayes', 'Chris Cooper': 'Colonel Frank Fitts', 'Allison Janney': 'Barbara Fitts', 'Peter Gallagher': 'Buddy Kane', 'Scott Bakula': 'Jim Olmeyer'}","['adultery', 'parent child relationship', 'midlife crisis', 'coming out', 'first time', 'virgin', 'estate agent', 'cheerleader', 'rose', 'satire', 'loneliness', 'dark comedy', 'suburbia', 'coming of age', 'marijuana', 'love affair', 'exercise', 'extramarital affair', 'quitting a job', 'retired army man', 'closeted homosexual', 'gay', 'teenager']",Released,English,"$15,000,000.00 ","$356,296,601.00 ",
Star Wars: Episode IV - A New Hope (1977),Star Wars (1977),M/12,12/06/1977 (PT),2h 1m,"A long time ago in a galaxy far, far away...",Princess Leia is captured and held hostage by the evil Imperial forces in their effort to take over the galactic Empire. Venturesome Luke Skywalker and dashing captain Han Solo team together with the loveable robot duo R2-D2 and C-3PO to rescue the beautiful princess and restore peace and justice in the Empire.,"{'Director, Writer': 'George Lucas'}","{'Mark Hamill': 'Luke Skywalker', 'Harrison Ford': 'Han Solo', 'Carrie Fisher': 'Princess Leia Organa', 'Peter Cushing': 'Grand Moff Tarkin', 'Alec Guinness': 'Obi-Wan ""Ben"" Kenobi', 'Anthony Daniels': 'C-3PO', 'Kenny Baker': 'R2-D2', 'Peter Mayhew': 'Chewbacca', 'David Prowse': 'Darth Vader (performer)'}","['android', 'galaxy', 'hermit', 'smuggling (contraband)', 'superhero', 'space', 'rescue mission', 'empire', 'rebellion', 'planet', 'desert', 'super power', 'space opera', 'galactic war', 'wizard', 'totalitarianism', 'star', 'star-wars']",Released,English,"$11,000,000.00 ","$775,398,007.00 ",
Star Wars: Episode V - The Empire Strikes Back (1980),The Empire Strikes Back (1980),M/12,12/19/1980 (PT),2h 4m,The Adventure Continues...,"The epic saga continues as Luke Skywalker, in hopes of defeating the evil Galactic Empire, learns the ways of the Jedi from aging master Yoda. But Darth Vader is more determined than ever to capture Luke. Meanwhile, rebel leader Princess Leia, cocky Han Solo, Chewbacca, and droids C-3PO and R2-D2 are thrown into various stages of capture, betrayal and despair.","{'Director': 'Irvin Kershner', 'Screenplay': 'Lawrence Kasdan', 'Story': 'George Lucas'}","{'Mark Hamill': 'Luke Skywalker', 'Harrison Ford': 'Han Solo', 'Carrie Fisher': 'Princess Leia', 'Billy Dee Williams': 'Lando Calrissian', 'Anthony Daniels': 'C-3PO', 'David Prowse': 'Darth Vader', 'Peter Mayhew': 'Chewbacca', 'Kenny Baker': 'R2-D2', 'Frank Oz': 'Yoda (Voice)'}","['rebel', 'android', 'asteroid', 'spacecraft', 'space battle', 'snowstorm', 'space colony', 'swamp', 'rebellion', 'space opera', 'artic']",Released,English,"$18,000,000.00 ","$538,400,000.00 ",
Star Wars: Episode VI - Return of the Jedi (1983),Return of the Jedi (1983),M/12,10/14/1983 (PT),2h 15m,The Empire Falls...,"Luke Skywalker leads a mission to rescue his friend Han Solo from the clutches of Jabba the Hutt, while the Emperor seeks to destroy the Rebellion once and for all with a second dreaded Death Star.","{'Screenplay, Story': 'George Lucas', 'Director': 'Richard Marquand', 'Screenplay': 'Lawrence Kasdan'}","{'Mark Hamill': 'Luke Skywalker', 'Harrison Ford': 'Han Solo', 'Carrie Fisher': 'Princess Leia', 'Billy Dee Williams': 'Lando Calrissian', 'Anthony Daniels': 'C-3PO', 'Peter Mayhew': 'Chewbacca', 'Sebastian Shaw': 'Anakin Skywalker', 'Ian McDiarmid': 'The Emperor', 'Frank Oz': 'Yoda (voice)'}","['sibling relationship', 'rebel', 'spacecraft', 'emperor', 'space battle', 'matter of life and death', 'forest', 'jabba the hutt', 'ewoks', 'desert', 'space opera']",Released,English,"$32,350,000.00 ","$572,700,000.00 ",
Jurassic Park (1993),Jurassic Park (1993),M/12,10/01/1993 (PT),2h 7m,An adventure 65 million years in the making.,"A wealthy entrepreneur secretly creates a theme park featuring living dinosaurs drawn from prehistoric DNA. Before opening day, he invites a team of experts and his two eager grandchildren to experience the park and help calm anxious investors. However, the park is anything but amusing as the security systems go off-line and the dinosaurs escape.","{'Novel, Screenplay': 'Michael Crichton', 'Director': 'Steven Spielberg', 'Screenplay': 'David Koepp'}","{'Sam Neill': 'Dr. Alan Grant', 'Laura Dern': 'Dr. Ellie Sattler', 'Jeff Goldblum': 'Dr. Ian Malcolm', 'Richard Attenborough': 'John Hammond', 'Bob Peck': 'Robert Muldoon', 'Martin Ferrero': 'Donald Gennaro', 'BD Wong': 'Dr. Henry Wu', 'Joseph Mazzello': 'Tim Murphy', 'Ariana Richards': 'Lex Murphy'}","['exotic island', 'dna', 'paleontology', 'tyrannosaurus rex', 'triceratops', 'brontosaurus', 'electric fence', 'island', 'dinosaur', 'amusement park', 'theme park']",Released,English,"$63,000,000.00 ","$920,100,000.00 ",
Saving Private Ryan (1998),Saving Private Ryan (1998),M/14,09/11/1998 (PT),2h 49m,The mission is a man.,"As U.S. troops storm the beaches of Normandy, three brothers lie dead on the battlefield, with a fourth trapped behind enemy lines. Ranger captain John Miller and seven men are tasked with penetrating German-held territory and bringing the boy home.","{'Director': 'Steven Spielberg', 'Screenplay': 'Robert Rodat'}","{'Tom Hanks': 'Captain John H. Miller', 'Tom Sizemore': 'Technical Sergeant Michael Horvath', 'Edward Burns': 'Private Richard Reiben', 'Matt Damon': 'Private James Francis Ryan', 'Barry Pepper': 'Private Daniel Jackson', 'Adam Goldberg': 'Private Stanley Mellish', 'Vin Diesel': 'Private Adrian Caparzo', 'Giovanni Ribisi': 'T-Medic Irwin Wade', 'Ted Danson': 'Captain Fred Hamill'}","['war crimes', 'self sacrifice', 'war veteran', 'world war ii', 'war ship', 'airplane', 'bravery', 'normandy, france', 'parachute', 'troops', 'waffen ss', 'omaha beach', 'army', 'epic', 'cowardice', 'd-day', 'based on true story', 'rescue mission', 'war memorial', 'deserted town', 'soldier', 'death', 'military', 'military operation', '1940s']",Released,English,"$70,000,000.00 ","$481,840,909.00 ",
Terminator 2: Judgment Day (1991),Terminator 2: Judgment Day (1991),M/12,10/25/1991 (PT),2h 17m,It's nothing personal.,"Nearly 10 years have passed since Sarah Connor was targeted for termination by a cyborg from the future. Now her son, John, the future leader of the resistance, is the target for a newer, more deadly terminator. Once again, the resistance has managed to send a protector back to attempt to save John and his mother Sarah.","{'Director, Writer': 'James Cameron', 'Writer': 'William Wisher'}","{'Arnold Schwarzenegger': 'The Terminator', 'Linda Hamilton': 'Sarah Connor', 'Edward Furlong': 'John Connor', 'Robert Patrick': 'T-1000', 'Joe Morton': 'Dr. Miles Bennett Dyson', 'Earl Boen': 'Dr. Peter Silberman', 'S. Epatha Merkerson': 'Tarissa Dyson', 'Castulo Guerra': 'Enrique Salceda', 'Danny Cooksey': 'Tim'}","['cyborg', 'shotgun', 'villain', 'time travel', 'post-apocalyptic future', 'dystopia', 'moral ambiguity', 'mental institution', 'juvenile delinquent', 'fictional war', 'urban setting', 'troubled teen', 'morphing', 'nuclear weapons', 'shape shifter', 'savior', 'catch phrase', 'action hero', 'good versus evil', 'terminator']",Released,English,"$102,000,000.00 ","$520,000,000.00 ",
"Matrix, The (1999)",The Matrix (1999),M/12,06/25/1999 (PT),2h 16m,Welcome to the Real World.,"Set in the 22nd century, The Matrix tells the story of a computer hacker who joins a group of underground insurgents fighting the vast and powerful computers who now rule the earth.","{'Director, Writer': 'Lana Wachowski'}","{'Keanu Reeves': 'Thomas A. Anderson / Neo', 'Laurence Fishburne': 'Morpheus', 'Carrie-Anne Moss': 'Trinity', 'Hugo Weaving': 'Agent Smith', 'Joe Pantoliano': 'Cypher', 'Marcus Chong': 'Tank', 'Anthony Ray Parker': 'Dozer', 'Matt Doran': 'Mouse', 'Gloria Foster': 'Oracle'}","['saving the world', 'artificial intelligence', 'man vs machine', 'philosophy', 'prophecy', 'martial arts', 'self sacrifice', 'dream', 'fight', 'hacker', 'insurgence', 'simulated reality', 'virtual reality', 'dystopia', 'truth', 'cyberpunk', 'dream world', 'woman director', 'messiah', 'action hero', 'gnosticism']",Released,English,"$63,000,000.00 ","$463,517,383.00 ",
Back to the Future (1985),Back to the Future (1985),M/6,12/19/1986 (PT),1h 56m,He's the only kid ever to get into trouble before he was born.,"Eighties teenager Marty McFly is accidentally sent back in time to 1955, inadvertently disrupting his parents' first meeting and attracting his mother's romantic interest. Marty must repair the damage to history by rekindling his parents' romance and - with the help of his eccentric inventor friend Doc Brown - return to 1985.","{'Director, Writer': 'Robert Zemeckis', 'Writer': 'Bob Gale'}","{'Michael J. Fox': 'Marty McFly', 'Christopher Lloyd': 'Emmett Brown', 'Lea Thompson': 'Lorraine Baines', 'Crispin Glover': 'George McFly', 'Thomas F. Wilson': 'Biff Tannen', 'Claudia Wells': 'Jennifer Parker', 'Marc McClure': 'Dave McFly', 'Wendie Jo Sperber': 'Linda McFly', 'George DiCenzo': 'Sam Baines'}","['clock tower', 'flying car', 'car race', 'terrorist', 'lightning', 'guitar', 'plutonium', 'inventor', 'journey in the past', 'invention', 'time travel', 'race against time', 'bullying', 'mad scientist', 'fish out of water', 'teenage love', 'destiny', 'hidden identity', 'love and romance', 'teenage life', 'changing the past or future', '1950s']",Released,English,"$19,000,000.00 ","$381,109,762.00 ",
"Silence of the Lambs, The (1991)",The Silence of the Lambs (1991),M/16,09/06/1991 (PT),1h 59m,To enter the mind of a killer she must challenge the mind of a madman.,"Clarice Starling is a top student at the FBI's training academy.  Jack Crawford wants Clarice to interview Dr. Hannibal Lecter, a brilliant psychiatrist who is also a violent psychopath, serving life behind bars for various acts of murder and cannibalism.  Crawford believes that Lecter may have insight into a case and that Starling, as an attractive young woman, may be just the bait to draw him out.","{'Director': 'Jonathan Demme', 'Novel': 'Thomas Harris', 'Screenplay': 'Ted Tally'}","{'Jodie Foster': 'Clarice M. Starling', 'Anthony Hopkins': 'Dr. Hannibal Lecter', 'Scott Glenn': 'Jack Crawford', 'Ted Levine': ""Jame 'Buffalo Bill' Gumb"", 'Anthony Heald': 'Dr. Frederick Chilton', 'Brooke Smith': 'Catherine Martin', 'Diane Baker': 'Senator Ruth Martin', 'Kasi Lemmons': 'Ardelia Mapp', 'Frankie Faison': 'Barney Matthews'}","['based on novel or book', 'fbi', 'kidnapping', 'psychopath', 'horror', 'murder', 'serial killer', 'psychological thriller', 'brutality', 'cannibal', 'moth', 'virginia']",Released,English,"$19,000,000.00 ","$272,742,922.00 ",
Men in Black (1997),Men in Black (1997),M/12,07/25/1997 (PT),1h 38m,Protecting the Earth from the scum of the universe.,"After a police chase with an otherworldly being, a New York City cop is recruited as an agent in a top-secret organization established to monitor and police alien activity on Earth: the Men in Black. Agent Kay and new recruit Agent Jay find themselves in the middle of a deadly plot by an intergalactic terrorist who has arrived on Earth to assassinate two ambassadors from opposing galaxies.","{'Director': 'Barry Sonnenfeld', 'Screenplay': 'Ed Solomon'}","{'Tommy Lee Jones': 'Agent K', 'Will Smith': 'James Edwards / Agent J', 'Linda Fiorentino': 'Dr. Laurel Weaver / Agent L', ""Vincent D'Onofrio"": 'Edgar / The Bug', 'Rip Torn': 'Chief Zed', 'Tony Shalhoub': 'Jack Jeebs', 'Siobhan Fallon Hogan': 'Beatrice', 'Mike Nussbaum': 'Gentle Rosenburg the Arquillian Jeweler', 'Jon Gries': 'Van driver'}","['new york city', 'secret identity', 'undercover', 'space marine', 'illegal immigration', 'deportation', 'new identity', 'giant cockroach', 'cannon', 'flying saucer', 'stay permit', 'superhero', 'based on comic', 'alien', 'buddy cop', 'fictional government agency']",Released,English,"$90,000,000.00 ","$589,390,539.00 ",
Raiders of the Lost Ark (1981),Raiders of the Lost Ark (1981),M/12,10/09/1981 (PT),1h 55m,Indiana Jones - the new hero from the creators of JAWS and STAR WARS.,"When Dr. Indiana Jones – the tweed-suited professor who just happens to be a celebrated archaeologist – is hired by the government to locate the legendary Ark of the Covenant, he finds himself up against the entire Nazi regime.","{'Director': 'Steven Spielberg', 'Screenplay': 'Lawrence Kasdan', 'Story': 'George Lucas'}","{'Harrison Ford': 'Indiana Jones', 'Karen Allen': 'Marion Ravenwood', 'Paul Freeman': 'Dr. René Belloq', 'John Rhys-Davies': 'Sallah', 'Ronald Lacey': 'Major Arnold Toht', 'Wolf Kahler': 'Colonel Dietrich', 'Anthony Higgins': 'Gobler', 'Denholm Elliott': 'Dr. Marcus Brody', 'Alfred Molina': 'Satipo'}","['saving the world', 'riddle', 'nepal', 'himalaya mountain range', 'cairo', 'moses', 'egypt', 'whip', 'treasure', 'medallion', 'leather jacket', 'nazi', 'hat', 'mediterranean', 'ark of the covenant', 'ten commandments', 'treasure hunt', 'excavation', 'swastika', 'archaeologist', 'adventurer', 'archeology', 'religious history', '1930s']",Released,English,"$18,000,000.00 ","$389,925,971.00 ",
Fargo (1996),Fargo (1996),M/16,09/13/1996 (PT),1h 38m,A lot can happen in the middle of nowhere.,"Jerry, a small-town Minnesota car salesman is bursting at the seams with debt... but he's got a plan. He's going to hire two thugs to kidnap his wife in a scheme to collect a hefty ransom from his wealthy father-in-law. It's going to be a snap and nobody's going to get hurt... until people start dying. Enter Police Chief Marge, a coffee-drinking, parka-wearing - and extremely pregnant - investigator who'll stop at nothing to get her man. And if you think her small-time investigative skills will give the crooks a run for their ransom... you betcha!","{'Director, Screenplay': 'Joel Coen', 'Screenplay': 'Ethan Coen'}","{'Frances McDormand': 'Marge Gunderson', 'William H. Macy': 'Jerry Lundegaard', 'Steve Buscemi': 'Carl Showalter', 'Peter Stormare': 'Gaear Grimsrud', 'John Carroll Lynch': 'Norm Gunderson', 'Harve Presnell': 'Wade Gustafson', 'Kristin Rudrüd': 'Jean Lundegaard', 'Bruce Bohne': 'Lou', 'Steve Reevis': 'Shep Proudfoot'}","['cheating', 'ransom', 'minnesota', 'salesclerk', 'winter', 'kidnapping', 'unsociability', 'police', 'north dakota', 'murder', 'dark comedy', 'money', 'police officer', 'car dealership', 'woodchipper', 'false history', 'neo-noir', 'minneapolis']",Released,English,"$7,000,000.00 ","$60,611,975.00 ",
"Sixth Sense, The (1999)",The Sixth Sense (1999),M/12,01/14/2000 (PT),1h 47m,Not every gift is a blessing.,"Following an unexpected tragedy, a child psychologist named Malcolm Crowe meets an nine year old boy named Cole Sear, who is hiding a dark secret.","{'Director, Writer': 'M. Night Shyamalan'}","{'Bruce Willis': 'Malcolm Crowe', 'Haley Joel Osment': 'Cole Sear', 'Toni Collette': 'Lynn Sear', 'Olivia Williams': 'Anna Crowe', 'Donnie Wahlberg': 'Vincent Grey', 'Mischa Barton': 'Kyra Collins', 'Trevor Morgan': 'Tommy Tammisimo', 'Glenn Fitzgerald': 'Sean', 'Bruce Norris': 'Stanley Cunningham'}","['philadelphia, pennsylvania', 'child abuse', 'loss of loved one', 'sense of guilt', 'confidence', 'psychology', 'dying and death', 'marriage crisis', 'afterlife', 'single', 'paranormal phenomena', 'psychological thriller', 'cowardliness', 'single mother', 'school play', 'ghost', 'child', 'spiritism', 'ghost child']",Released,English,"$40,000,000.00 ","$672,806,292.00 ",
Braveheart (1995),Braveheart (1995),M/12,12/15/1995 (PT),2h 58m,Every man dies. Not every man truly lives.,"Enraged at the slaughter of Murron, his new bride and childhood love, Scottish warrior William Wallace slays a platoon of the local English lord's soldiers. This leads the village to revolt and, eventually, the entire country to rise up against English rule.","{'Author, Screenplay': 'Randall Wallace', 'Director': 'Mel Gibson'}","{'Mel Gibson': 'William Wallace', 'Catherine McCormack': 'Murron MacClannough', 'Sophie Marceau': 'Princess Isabelle', 'Patrick McGoohan': 'King Edward', 'Angus Macfadyen': 'Robert the Bruce', 'Brendan Gleeson': 'Hamish Campbell', 'James Robinson': 'Young William Wallace', 'James Cosmo': 'Campbell', 'Sean McGinley': 'MacClannough'}","['individual', 'scotland', 'in love with enemy', 'revolution', 'kilt', 'legend', 'independence', 'freedom', 'epic', 'idealism', 'family clan', 'based on true story', 'sword fight', 'historical fiction', 'battle', 'united kingdom', 'medieval', 'revolt', 'tyranny', 'false history', 'highlands', '13th century', 'scottish highlands', 'warfield']",Released,English,"$72,000,000.00 ","$213,216,216.00 ",
Shakespeare in Love (1998),Shakespeare in Love (1998),M/12,03/05/1999 (PT),2h 3m,Love is the only inspiration.,"Young Shakespeare is forced to stage his latest comedy, ""Romeo and Ethel, the Pirate's Daughter,"" before it's even written. When a lovely noblewoman auditions for a role, they fall into forbidden love -- and his play finds a new life (and title). As their relationship progresses, Shakespeare's comedy soon transforms into tragedy.","{'Director': 'John Madden', 'Screenplay': 'Tom Stoppard'}","{'Joseph Fiennes': 'Will Shakespeare', 'Gwyneth Paltrow': 'Viola De Lesseps', 'Geoffrey Rush': 'Philip Henslowe', 'Tom Wilkinson': 'Hugh Fennyman', 'Judi Dench': 'Queen Elizabeth', 'Imelda Staunton': 'Nurse', 'Colin Firth': 'Lord Wessex', 'Ben Affleck': 'Ned Alleyn', 'Simon Callow': 'Tilney'}","['london, england', 'theater play', 'queen elizabeth i', 'playwright', 'cross dressing', 'false history', 'francis bacon', '16th century', 'acting', 'elizabethan england']",Released,English,"$25,000,000.00 ","$289,317,794.00 ",
"Princess Bride, The (1987)",The Princess Bride (1987),M/6,03/25/1988 (PT),1h 39m,It's as real as the feelings you feel.,"In this enchantingly cracked fairy tale, the beautiful Princess Buttercup and the dashing Westley must overcome staggering odds to find happiness amid six-fingered swordsmen, murderous princes, Sicilians and rodents of unusual size. But even death can't stop these true lovebirds from triumphing.","{'Novel, Screenplay': 'William Goldman', 'Director': 'Rob Reiner'}","{'Cary Elwes': 'Westley', 'Robin Wright': 'The Princess Bride', 'Mandy Patinkin': 'Inigo Montoya', 'Chris Sarandon': 'Prince Humperdinck', 'André Roussimoff': 'Fezzik', 'Christopher Guest': 'Count Tyrone Rugen', 'Wallace Shawn': 'Vizzini', 'Peter Falk': 'The Grandfather / Narrator', 'Fred Savage': 'The Grandson'}","['based on novel or book', 'dream', 'narration', 'miracle', 'wrestling', 'sword fight', 'revenge', 'boat chase', 'pirate', 'wedding', 'cult film', 'swashbuckler', 'evil prince', 'screwball', 'impersonation', 'giant man', 'story within the story', 'hidden identity', 'fictitious country', 'grandfather grandson relationship', 'battle of wits']",Released,English,"$16,000,000.00 ","$30,861,665.00 ",
Schindler's List (1993),Schindler's List (1993),M/12,03/04/1994 (PT),3h 15m,"Whoever saves one life, saves the world entire.",The true story of how businessman Oskar Schindler saved over a thousand Jewish lives from the Nazis while they worked as slaves in his factory during World War II.,"{'Director': 'Steven Spielberg', 'Novel': 'Thomas Keneally', 'Screenplay': 'Steven Zaillian'}","{'Liam Neeson': 'Oskar Schindler', 'Ben Kingsley': 'Itzhak Stern', 'Ralph Fiennes': 'Amon Goeth', 'Caroline Goodall': 'Emilie Schindler', 'Jonathan Sagall': 'Poldek Pfefferberg', 'Embeth Davidtz': 'Helen Hirsch', 'Malgorzata Gebel': 'Viktoria Klonowska', 'Shmuel Levy': 'Wilek Chilowicz', 'Mark Ivanir': 'Marcel Goldberg'}","['based on novel or book', 'factory', 'concentration camp', 'hero', 'holocaust (shoah)', 'ss (nazi schutzstaffel)', 'world war ii', 'ghetto', 'jew persecution', 'kraków, poland', 'auschwitz-birkenau concentration camp', 'industrialist', 'nazi', 'defense industry', 'biography', 'based on true story', 'historical fiction', 'train', 'poland', 'weapons manufacturer']",Released,English,"$22,000,000.00 ","$321,365,567.00 ",
L.A. Confidential (1997),L.A. Confidential (1997),M/12,11/14/1997 (PT),2h 18m,Everything is suspect... Everyone is for sale... And nothing is what it seems.,Three detectives in the corrupt and brutal L.A. police force of the 1950s use differing methods to uncover a conspiracy behind the shotgun slayings of the patrons at an all-night diner.,"{'Director, Screenplay': 'Curtis Hanson', 'Novel': 'James Ellroy', 'Screenplay': 'Brian Helgeland'}","{'Russell Crowe': 'Wendell ""Bud"" White', 'Guy Pearce': 'Edmund ""Ed"" Exley', 'Kevin Spacey': 'Jack Vincennes', 'Kim Basinger': 'Lynn Bracken', 'Danny DeVito': 'Sid Hudgens', 'James Cromwell': 'Dudley Smith', 'David Strathairn': 'Pierce Patchett', 'Ron Rifkin': 'D.A. Ellis Loew', 'Matt McCoy': '""Badge of Honor"" Star Brett Chase'}","['corruption', 'call girl', 'detective', 'based on novel or book', 'shotgun', 'femme fatale', 'domestic violence', 'whodunit', 'corpse', 'district attorney', 'movie star', 'good cop bad cop', 'neo-noir', '1950s']",Released,English,"$35,000,000.00 ","$126,216,940.00 ",
Groundhog Day (1993),Groundhog Day (1993),M/12,09/10/1993 (PT),1h 41m,"He’s having the worst day of his life … over, and over …","A narcissistic TV weatherman, along with his attractive-but-distant producer, and his mawkish cameraman, is sent to report on Groundhog Day in the small town of Punxsutawney, where he finds himself repeating the same day over and over.","{'Director, Screenplay': 'Harold Ramis', 'Screenplay, Story': 'Danny Rubin'}","{'Bill Murray': 'Phil Connors', 'Andie MacDowell': 'Rita Hanson', 'Chris Elliott': 'Larry', 'Stephen Tobolowsky': 'Ned Ryerson', 'Brian Doyle-Murray': 'Buster Green', 'Angela Paton': 'Mrs. Lancaster', 'Rick Ducommun': 'Gus', 'Rick Overton': 'Ralph', 'Robin Duke': 'Doris'}","['holiday', 'deja vu', 'groundhog', 'weather forecast', 'telecaster', 'pennsylvania, usa', 'alarm clock', 'winter', 'time warp', 'time loop', 'cult film', 'magic realism', 'existentialism', 'groundhog day']",Released,English,"$14,600,000.00 ","$71,074,049.00 ",
E.T. the Extra-Terrestrial (1982),E.T. the Extra-Terrestrial (1982),M/6,12/17/1982 (PT),1h 55m,He is afraid. He is alone. He is three million light years from home.,"An alien is left behind on Earth and saved by the 10-year-old Elliot who decides to keep him hidden in his home. While a task force hunts for the extra-terrestrial, Elliot, his brother, and his little sister Gertie form an emotional bond with their new friend, and try to help him find his way home.","{'Director': 'Steven Spielberg', 'Screenplay': 'Melissa Mathison'}","{'Henry Thomas': 'Elliott', 'Drew Barrymore': 'Gertie', 'Robert MacNaughton': 'Michael', 'Peter Coyote': 'Keys', 'Dee Wallace': 'Mary', 'Erika Eleniak': 'Pretty Girl', 'K.C. Martel': 'Greg', 'C. Thomas Howell': 'Tyler', 'Sean Frye': 'Steve'}","['farewell', 'loss of loved one', 'homesickness', 'nasa', 'extraterrestrial technology', 'operation', 'space marine', 'riding a bicycle', 'flying saucer', 'prosecution', 'halloween', 'flowerpot', 'finger', 'single', 'alien', 'single mother']",Released,English,"$10,500,000.00 ","$792,965,500.00 ",
Star Wars: Episode I - The Phantom Menace (1999),Star Wars: Episode I - The Phantom Menace (1999),M/12,10/01/1999 (PT),2h 16m,Every generation has a legend. Every journey has a first step. Every saga has a beginning.,"Anakin Skywalker, a young slave strong with the Force, is discovered on Tatooine. Meanwhile, the evil Sith have returned, enacting their plot for revenge against the Jedi.","{'Director, Screenplay': 'George Lucas'}","{'Liam Neeson': 'Qui-Gon Jinn', 'Ewan McGregor': 'Obi-Wan Kenobi', 'Natalie Portman': 'Padmé Amidala', 'Jake Lloyd': 'Anakin Skywalker', 'Ian McDiarmid': 'Senator Palpatine', 'Pernilla August': 'Shmi Skywalker', 'Oliver Ford Davies': 'Governor Sio Bibble', 'Hugh Quarshie': 'Captain Panaka', 'Ahmed Best': 'Jar Jar Binks'}","['prophecy', 'senate', 'queen', 'taskmaster', 'galaxy', 'apprentice', 'taxes', 'space opera']",Released,English,"$115,000,000.00 ","$924,317,558.00 ",
Being John Malkovich (1999),Being John Malkovich (1999),M/16,11/10/2000 (PT),1h 53m,Ever wanted to be someone else? Now you can.,"One day at work, unsuccessful puppeteer Craig finds a portal into the head of actor John Malkovich. The portal soon becomes a passion for anybody who enters its mad and controlling world of overtaking another human body.","{'Director': 'Spike Jonze', 'Writer': 'Charlie Kaufman'}","{'John Cusack': 'Craig Schwartz', 'John Malkovich': 'John Horatio Malkovich', 'Cameron Diaz': 'Lotte Schwartz', 'Catherine Keener': 'Maxine Lund', 'Mary Kay Place': 'Floris', 'Orson Bean': 'Dr. Lester', 'Charlie Sheen': 'Charlie', 'Reggie Hayes': 'Don', 'W. Earl Brown': 'First J.M. Inc. Customer'}","['individual', 'transvestism', 'sexual identity', 'witch', 'identity', 'subconsciousness', 'new identity', 'pet', 'chimp', 'puppeteer', 'appropriation of another human being', 'externally controlled action', 'pet shop', 'secret love', 'actor playing themself']",Released,English,"$13,000,000.00 ","$22,863,596.00 ",
"Shawshank Redemption, The (1994)",The Shawshank Redemption (1994),M/16,03/31/1995 (PT),2h 22m,Fear can hold you prisoner. Hope can set you free.,"Framed in the 1940s for the double murder of his wife and her lover, upstanding banker Andy Dufresne begins a new life at the Shawshank prison, where he puts his accounting skills to work for an amoral warden. During his long stretch in prison, Dufresne comes to be admired by the other inmates -- including an older prisoner named Red -- for his integrity and unquenchable sense of hope.","{'Director, Screenplay': 'Frank Darabont', 'Novel': 'Stephen King'}","{'Tim Robbins': 'Andy Dufresne', 'Morgan Freeman': ""Ellis Boyd 'Red' Redding"", 'Bob Gunton': 'Warden Norton', 'William Sadler': 'Heywood', 'Clancy Brown': 'Captain Byron T. Hadley', 'Gil Bellows': 'Tommy', 'Mark Rolston': 'Bogs Diamond', 'James Whitmore': 'Brooks Hatlen', 'Jeffrey DeMunn': '1946 D.A.'}","['prison', 'corruption', 'police brutality', 'based on novel or book', 'prison cell', 'delinquent', 'parole board', 'prison escape', 'wrongful imprisonment', 'framed for murder', '1940s']",Released,English,"$25,000,000.00 ","$28,341,469.00 ",
"Godfather, The (1972)",The Godfather (1972),M/18,10/24/1972 (PT),2h 55m,An offer you can't refuse.,"Spanning the years 1945 to 1955, a chronicle of the fictional Italian-American Corleone crime family. When organized crime family patriarch, Vito Corleone barely survives an attempt on his life, his youngest son, Michael steps in to take care of the would-be killers, launching a campaign of bloody revenge.","{'Director, Screenplay': 'Francis Ford Coppola', 'Novel, Screenplay': 'Mario Puzo'}","{'Marlon Brando': 'Don Vito Corleone', 'Al Pacino': 'Don Michael Corleone', 'James Caan': ""Santino 'Sonny' Corleone"", 'Robert Duvall': 'Tom Hagen', 'Richard S. Castellano': 'Pete Clemenza', 'Diane Keaton': 'Kay Adams', 'Talia Shire': ""Constanzia 'Connie' Corleone-Rizzi"", 'Gianni Russo': 'Carlo Rizzi', 'Sterling Hayden': 'Capt. Mark McCluskey'}","['italy', 'loss of loved one', 'love at first sight', 'based on novel or book', 'europe', 'symbolism', 'patriarch', 'organized crime', 'mafia', 'lawyer', 'religion', 'revenge motive', 'crime family', 'sicilian mafia', 'religious hypocrisy', 'gun violence', 'rise to power', 'dead horse', 'gang violence', '1940s', '1950s', 'mafia war', 'part of trilogy']",Released,English,"$6,000,000.00 ","$245,066,411.00 ",
